id,year,workoutnumber,workout_name,workout_type,time_cap,scoring,Tiebreak,workout_description
1,2011,1,Open 11.1,AMRAP,10 minutes,Reps,,"AMRAP in 10 minutes of:
30 double-unders
15 power snatches (75/55 lb)"
2,2011,2,Open 11.2,AMRAP,15 minutes,Reps,,"Complete as many rounds and reps as possible in 15 minutes of:
9 Deadlifts 155/100
12 Push-ups
15 Box jumps 24""/20"""
3,2011,3,Open 11.3,AMRAP,5 minutes,Reps,,"Complete as many rounds and reps as possible in 5 minutes of:
Squat clean 165/110
Jerk 165/110"
4,2011,4,Open 11.4,AMRAP,10 minutes,Reps,,"Complete as many rounds and reps as possible in 10 minutes of:
60 Bar-facing burpees
30 Overhead squats 120/40 lbs
10 Muscle-ups "
5,2011,5,Open 11.5,AMRAP,20 minutes,Reps,,"Complete as many rounds and reps as possible in 20 minutes of:
5 Power cleans 145/100 lbs
10 Toes to bar
15 Wall balls 20/14 lbs
Men - Target 10'
Women - Target 9'"
6,2011,6,Open 11.6,AMRAP,7 minutes,Reps,,"AMRAP in 7 minutes:
3 thrusters 100/65 lb
3 chest-to-bar pull-ups
6 thrusters 100/65 lb
6 chest-to-bar pull-ups
9 thrusters 100/65 lb
9 chest-to-bar pull-ups
If you complete the round of 9, complete a round of 12, then go on to 15, etc."
7,2012,1,Open 12.1,AMRAP,7 minutes,Reps,,"AMRAP in 7 minutes:
Burpees to a target (6 inch)"
8,2012,2,Open 12.2,AMRAP,10 minutes,Reps,,"Proceed through the sequence below completing as many reps as possible in 10 minutes of:
Snatch, 30 reps 45/75 lbs
Snatch, 30 reps 75/135 lbs
Snatch, 30 reps 100/165 lbs
Snatch, as many reps as possible 120/210 lbs"
9,2012,3,Open 12.3,AMRAP,18 minutes,Reps,,"Complete as many rounds and reps as possible in 18 minutes of:
15 Box jumps 24""/20"" 
12 Push press 115/75 
9 Toes-to-bar"
10,2012,4,Open 12.4,AMRAP,12 minutes,Reps,,"Complete as many rounds and reps as possible in 12 minutes of:
150 Wall balls (20 lbs to 10' target) (14 lbs to 9' target)
90 Double-unders
30 Muscle-ups"
11,2012,5,Open 12.5,AMRAP,7 minutes,Reps,,"Complete as many reps as possible in 7 minutes following the rep scheme below:
3 Thruster 75/100 lbs 
3 Chest to bar Pull-ups
6 Thruster 75/100 lbs 
6 Chest to bar Pull-ups
9 Thruster 75/100 lbs 
9 Chest to bar Pull-ups
12 Thruster 75/100 lbs 
12 Chest to bar Pull-ups
15 Thruster 75/100 lbs 
15 Chest to bar Pull-ups
18 Thruster 75/100 lbs 
18 Chest to bar Pull-ups
21 Thruster 75/100 lbs 
21 Chest to bar Pull-ups...
This is a timed workout. If you complete the round of 21, go on to 24. If you complete 24, go on to 27, etc."
12,2013,1,Open 13.1,AMRAP,17 minutes,Reps,,"AMRAP in 17 minutes:
40 burpees
30 snatches (75/45 lb)
30 burpees
30 snatches (135/75 lb)
20 burpees
30 snatches (165/100 lb)
10 burpees
Max snatches (210/120 lb)"
13,2013,2,Open 13.2,AMRAP,10 minutes,Reps,,"AMRAP in 10 minutes:
5 shoulder-to-overheads (115/75 lb)
10 deadlifts (115/75 lb)
15 box jumps (24/20 inch)"
14,2013,3,Open 13.3,AMRAP,12 minutes,Reps,,"AMRAP in 12 minutes:
150 wall balls
90 double-unders
30 muscle-ups"
15,2013,4,Open 13.4,AMRAP,7 minutes,Reps,,"AMRAP in 7 minutes:
3 clean-and-jerks (135/95 lb)
3 toes-to-bars
6 clean-and-jerks (135/95 lb)
6 toes-to-bars
9 clean-and-jerks (135/95 lb)
9 toes-to-bars
12 clean-and-jerks (135/95 lb)
12 toes-to-bars

If athlete completes the round of 12, go on to 15. Complete 15, go on to 18, etc."
16,2013,5,Open 13.5,AMRAP,No time cap,Reps,,"AMRAP for as long as possible:
15 thrusters (100/65 lb)
15 chest-to-bar pull-ups

If 90 reps (3 rounds) are completed in under 4 minutes, time extends to 8 minutes.
If 180 reps (6 rounds) are completed in under 8 minutes, time extends to 12 minutes. Etc."
17,2014,1,Open 14.1,AMRAP,10 minutes,,,"Complete as many rounds and reps as possible in 10 minutes of:
30 double-unders
power snatches, 15 reps (75 lb/55 lb)"
18,2014,2,Open 14.2,For reps,No time cap,Reps,,"From 0:00-3:00, perform 2 rounds of:
10 overhead squats (95/65 lb)
10 chest-to-bar pull-ups
From 3:00-6:00, perform 2 rounds of:
12 overhead squats (95/65 lb)
12 chest-to-bar pull-ups
From 6:00-9:00, perform 2 rounds of:
14 overhead squats (95/65 lb)
14 chest-to-bar pull-ups
Follow the pattern, adding 2 reps to each exercise every 3 minutes, until you fail to complete both rounds within the 3-minute interval."
19,2014,3,Open 14.3,AMRAP,8 minutes,Reps,,"AMRAP in 8 minutes of:
10 deadlifts (135/95 lb)
15 box jumps (24/20 inch)
15 deadlifts (185/135 lb)
15 box jumps (24/20 inch)
20 deadlifts (225/155 lb)
15 box jumps (24/20 inch)
25 deadlifts (275/185 lb)
15 box jumps (24/20 inch)
30 deadlifts (315/205 lb)
15 box jumps (24/20 inch)
35 deadlifts (365/225 lb)
15 box jumps (24/20 inch)"
20,2014,4,Open 14.4,AMRAP,14 minutes,Reps,,"AMRAP in 14 minutes of:
60 calorie row
50 toes-to-bars
40 wall ball shots (20/14 lb, 10/9 ft)
30 cleans (135 lb)
20 muscle-ups"
21,2014,5,Open 14.5,For time,,Time,,"21-18-15-12-9-6-3 reps for time:
Thrusters (95/65 lb)
Bar facing burpees"
23,2015,1,Open 15.1 and 15.a,AMRAP,15 minutes,Reps;Weight,,"Two parts in 15 minutes
15.1 AMRAP in 9 minutes
15 toes-to-bars
10 deadlifts
5 snatches

Then, 15.1a, from 9:00-15:00
1 rep max clean-and-jerk
"
25,2015,2,Open 15.2,EMOM; AMRAP,9 Minutes,,,"From 0:00-3:00
2 rounds of:
10 overhead squats (95 / 65 lb.)
10 chest-to-bar pull-ups

From 3:00-6:00
2 rounds of:
12 overhead squats (95 / 65 lb.)
12 chest-to-bar pull-ups

From 6:00-9:00
2 rounds of:
14 overhead squats (95 / 65 lb.)
14 chest-to-bar pull-ups
Etc., following the same pattern
until you fail to complete both
rounds"
26,2015,3,Open 15.3,AMAP,14 minutes,Reps,Yes,"Complete as many rounds and repetitions as possible in 14 minutes of:
 
7 muscle-ups
50 wall-ball shots
100 double-unders

Men use 20-lb. ball to 10 feet, Women use 14-lb.
ball to 9 feet"
25,2015,4,Open 15.4,AMRAP,8 minutes,Reps,,"AMRAP in 8 minutes:
3 handstand push-ups, 3 cleans (185/125 lb)
6 handstand push-ups, 3 cleans (185/125 lb)
9 handstand push-ups, 3 cleans (185/125 lb)
12 handstand push-ups, 6 cleans (185/125 lb)
15 handstand push-ups, 6 cleans (185/125 lb)
18 handstand push-ups, 6 cleans (185/125 lb)
21 handstand push-ups, 9 cleans (185/125 lb)
...
Continue with the pattern, adding 3 handstand push-ups to each round and 3 cleans to every third round"
26,2015,5,Open 15.5,For time,No time cap,Time,,"27-21-15-9 reps for time:
Calorie row
Thrusters (95/65 lb)"
28,2016,1,Open 16.1,AMRAP,20 minutes,Reps,,"AMRAP in 20 minutes:
25 ft overhead walking lunges (95/65 lb)
8 bar facing burpees
25 ft overhead walking lunges (95/65 lb)
8 chest-to-bar pull-ups"
29,2016,2,Open 16.2,AMRAP,20 minutes,Reps,,"AMRAP in 20 minutes:
On a 4-minute clock, complete as many reps as possible of:
25 toes-to-bars
50 double-unders
15 squat cleans (135/85 lb)

If completed before 4 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
13 squat cleans (185/115 lb)

If completed before 8 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
11 squat cleans (225/145 lb)

If completed before 12 minutes, add 4 minutes to the clock and proceed to:
25 toes-to-bars
50 double-unders
9 squat cleans (275/175 lb)

If completed before 16 minutes, continue until 20 minutes AMRAP of:
25 toes-to-bars
50 double-unders
7 squat cleans (315/205 lb)"
30,2016,3,Open 16.3,AMRAP,7 minutes,Reps,,"Complete as many rounds and reps as possible in 7 minutes of:
10 power snatches
3 bar muscle-ups

Men use 75 lb.
Women use 55 lb."
31,2016,4,Open 16.4,AMRAP,13 minutes,Reps,,"Complete as many rounds and reps as possible in 13 minutes of:
55 deadlifts
55 wall-ball shots
55-calorie row
55 handstand push-ups

Men deadlift 225 lb. and throw 20-lb. ball to 10-ft. target
Women deadlift 155 lb. and throw 14-lb. ball to 9-ft. target"
32,2016,5,Open 16.5,For time,,Time,,"21-18-15-12-9-6-3 reps for time of:
Thrusters
Burpees

Men use 95 lb.
Women use 65 lb."
33,2017,1,Open 17.1,For time,20 minutes,Time,,"For time:
10 dumbbell snatches
15 burpee box jump-overs
20 dumbbell snatches
15 burpee box jump-overs
30 dumbbell snatches
15 burpee box jump-overs
40 dumbbell snatches
15 burpee box jump-overs
50 dumbbell snatches
15 burpee box jump-overs

Women use 35-lb. dumbbell and 20-in. box"
34,2017,2,Open 17.2,AMRAP,12 minutes,Reps,,"AMRAP in 12 minutes:
2 rounds of:
50 ft dumbbell walking lunges (50/35 lb)
16 toe to bars
8 dumbbell power cleans (50/35 lb)

Then, 2 rounds of:
50 ft dumbbell walking lunges (50/35 lb)
16 bar muscle-ups
8 dumbbell power cleans (50/35 lb)"
35,2017,3,Open 17.3,For reps,24 minutes,Reps,,"Prior to 8 minutes, perform 3 rounds of:
6 chest-to-bar pull-ups
6 squat snatches (95/65 lb)

Then 3 rounds of:
7 chest-to-bar pull-ups
5 squat snatches (135/95 lb)

* Prior to 12 minutes, perform 3 rounds of:
8 chest-to-bar pull-ups
4 squat snatches (185/135 lb)

* Prior to 16 minutes, perform 3 rounds of:
9 chest-to-bar pull-ups
3 squat snatches (225/155 lb)

* Prior to 20 minutes, perform 3 rounds of:
10 chest-to-bar pull-ups
2 squat snatches (245/175 lb)

* Prior to 24 minutes, perform 3 rounds of:
11 chest-to-bar pull-ups
1 squat snatch (265/185 lb)"
36,2017,4,Open 17.4,AMRAP,13 minutes,Reps,,"Complete as many rounds and reps as possible in 13 minutes of:
55 deadlifts, 155 lb.
55 wall-ball shots, 14-lb. ball to 9-ft. target
55-calorie row
55 handstand push-ups"
37,2017,5,Open 17.5,For time ,40 minutes,Time,,"10 rounds for time of:
9 thrusters, 65 lb.
35 double-unders"
38,2018,1,Open 18.1,AMRAP,20 minutes,Reps,,"AMRAP in 20 minutes of:
8 toes-to-bars
10 dumbbell hang clean-and-jerks (50/35 lb)
14/12 calorie row"
39,2018,2,Open 18.2 and 18.2a,For time,12 minutes,Time; Weight,,"For time:
18.2:
1-2-3-4-5-6-7-8-9-10 reps of:
Dumbbell squats (2x50/35 lb)
Bar facing burpees

Then, 18.2a:
1 rep max clean"
40,2018,3,Open 18.3,For time,14 minutes,Reps;Time,,"2 rounds for time of:
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 dumbbell snatches
100 double-unders
12 bar muscle-ups

Men perform 115-lb. OHS, 50-lb. DB snatches
Women perform 80-lb. OHS, 35-lb. DB snatches"
41,2018,4,Open 18.4,For time,9 minutes,Time,,"For time:
21 deadlifts, 155 lb.
21 handstand push-ups
15 deadlifts, 155 lb.
15 handstand push-ups
9 deadlifts, 155 lb.
9 handstand push-ups
21 deadlifts, 205 lb.
50-ft. handstand walk
15 deadlifts, 205 lb.
50-ft. handstand walk
9 deadlifts, 205 lb.
50-ft. handstand walk

Rx’d: (Ages 16-54)
Men deadlift 225 lb. then 315 lb.
Women deadlift 155 lb. then 205 lb"
42,2018,5,Open 18.5,AMRAP,7 minutes,Reps,,"Complete as many reps as possible in 7 minutes of:
3 thrusters
3 chest-to-bar pull-ups
6 thrusters
6 chest-to-bar pull-ups
9 thrusters
9 chest-to-bar pull-ups
12 thrusters
12 chest-to-bar pull-ups
15 thrusters
15 chest-to-bar pull-ups
18 thrusters
18 chest-to-bar pull-ups

This is a timed workout. If you complete the round of 18, go on to 21. If you complete 21, go on to 24, etc.

Rx’d: (Ages 16-54)
Men use 100 lb.
Women use 65 lb"
43,2019,1,Open 19.1,AMRAP,15 minutes,Reps,,"AMRAP in 15 minutes of:
19 wall ball shots (20/14 lb, 10/9 ft)
19 calorie row"
44,2019,2,Open 19.2,AMRAP,20 minutes,Reps;Time,Yes,"Beginning on an 8-minute clock, complete as many reps as possible of:
  25 toes-to-bars
  50 double-unders
  15 squat cleans 135/85 ls
  25 toes-to-bars
  50 double-unders
  13 squat cleans 185/115
If completed before 8 minutes, add 4 minutes to the clock and proceed to:
  25 toes-to-bars
  50 double-unders
  11 squat cleans 225/145 
If completed before 12 minutes, add 4 minutes to the clock and proceed to:
  25 toes-to-bars
  50 double-unders
  9 squat cleans 275/175
If completed before 16 minutes, add 4 minutes to the clock and proceed to:
  25 toes-to-bars
  50 double-unders
  7 squat cleans 315/205"
45,2019,3,Open 19.3,For time,10 minutes,Time,,"For time:
200-ft. dumbbell overhead lunge
50 dumbbell box step-ups
50 strict handstand push-ups
200-ft. handstand walk"
46,2019,4,Open 19.4,For time,12 minutes,Time,,"For total time:
3 rounds of:
10 snatches (95/65 lb)
12 bar facing burpees

Rest 3 minutes

Then, 3 rounds of:
10 bar muscle-ups
12 bar facing burpees"
47,2019,5,Open 19.5,For time,20 minutes,Time,,"33-27-21-15-9 reps for time of:
95/65-lb. thrusters
Chest-to-bar pull-ups"
48,2020,1,Open 20.1,For time, 15 minutes,Time;Reps,No,"10 rounds for time of:
8 ground-to-overheads
10 bar-facing burpees
? 65 lb. ? 95 lb."
49,2020,2,Open 20.2,AMRAP,20 minutes,Reps,,"AMRAP in 20 minutes of:
4 dumbbell thrusters (2x50/35 lb)
6 toes-to-bars
24 double-unders"
50,2020,3,Open 20.3,For time,9 minutes,Time,,"For time:
21-15-9 reps of:
Deadlifts (225/155 lb)
Handstand push-ups

Then, 21-15-9 reps of:
Deadlifts (315/205 lb)
50 ft handstand walk"
51,2020,4,Open 20.4,For time,20 minutes,Time; Reps,Yes,"For time:
30 box jumps
15 clean and jerks, 65 | 95 lb.
30 box jumps
15 clean and jerks, 85 | 135 lb.
30 box jumps
10 clean and jerks, 115 | 185 lb.
30 single-leg squats
10 clean and jerks, 145 | 225 lb.
30 single-leg squats
5 clean and jerks, 175 | 275 lb.
30 single-leg squats
5 clean and jerks, 205 | 315 lb.
? 20-in. box
? 24-in. box
Time cap: 20 minutes"
52,2020,5,Open 20.5,For time,20 minutes,Time,,"For time:
40 ring muscle-ups
80 calorie row
120 wall ball shots (20/14 lb)

Partition any way"
53,2021,1,Open 21.1,For time,15 minutes,Time,,"For time:
1-3-6-9-15-21 wall walks
10-30-60-90-150-210 double-unders"
54,2021,2,Open 21.2,For time,15 minutes,Time;Reps,Yes,"For time:
10 dumbbell snatches
15 burpee box jump-overs
20 dumbbell snatches
15 burpee box jump-overs
30 dumbbell snatches
15 burpee box jump-overs
40 dumbbell snatches
15 burpee box jump-overs
50 dumbbell snatches
15 burpee box jump-overs
? 35-lb. dumbbell, 20-in. box
? 50-lb. dumbbell, 24-in. box
Time cap: 20 min."
55,2021,3,Open 21.3,For time and For load,22 minutes,Time,,"
For time:
15 front squats (95/65 lb)
30 toes-to-bars
15 thrusters (95/65 lb)
Rest 1 minute
15 front squats (95/65 lb)
30 chest-to-bar pull-ups
15 thrusters (95/65 lb)
Rest 1 minute
15 front squats (95/65 lb)
30 bar muscle-ups
15 thrusters (95/65 lb)

Time cap: 15 minutes

Open 21.4 Move immediately to complete the following complex for max load:

  "
56,2021,4,Open 21.4,For time and For load,22 minutes,Weight,,"Move immediately to complete the following complex for max load:
1 deadlift
1 clean
1 hang clean
1 jerk

Time cap: 7 minutes"
57,2022,1,Open 22.1,AMRAP,15 minutes,Reps,,"AMRAP in 15 minutes of:
3 wall walks
12 dumbbell snatches (50/35 lb)
15 box jump overs"
58,2022,2,Open 22.2,For Time,10 minutes,Time,,"1-2-3-4-5-6-7-8-9-10-9-8-7-6-5-4-3-2-1 reps for time:
Deadlift (225/155 lb)
Bar facing burpee"
59,2022,3,Open 22.3,For time,12 minutes,Time,,"For time:
21 pull-ups
42 double-unders
21 thrusters (95/65 lb)
18 chest-to-bar pull-ups
36 double-unders
18 thrusters (115/75 lb)
15 bar muscle-ups
30 double-unders
15 thrusters (135/85 lb)"
60,2023,1,Open 23.1,AMRAP,14 minutes,Reps,,"AMRAP in 14 minutes of:
60 calorie row
50 toes-to-bars
40 wall ball shots (20/14 lb)
30 cleans (135/95 lb)
20 muscle-ups"
61,2023,2,Open 23.2,AMRAP and For load,20 minutes,Reps; Weight,,"23.2a AMRAP in 15 minutes of:
5 burpee pull-ups
10 shuttle runs (2x25 ft)
*Add 5 additional burpee pull-ups after each round

Directly into:
23.2b 5 minutes to establish:
1 rep max thruster"
62,2023,3,Open 23.3,AMRAP,6/9/12 minutes,Reps,,"Starting with a 6-minute time cap, complete as many reps as possible of:
5 wall walks
50 double-unders
15 snatches (95/65 lb)
5 wall walks
50 double-unders
12 snatches (135/95 lb)

*If completed before the 6-minute time cap, add 3 minutes to the time cap and complete:
20 strict handstand push-ups
50 double-unders
9 snatches (185/125 lb)

*If completed before the 9-minute time cap, add 3 minutes to the time cap and complete:
20 strict handstand push-ups
50 double-unders
6 snatches (225/155 lb)"
63,2024,1,Open 24.1,For time,15 minutes,Time,,"For time:
21 dumbbell snatches (arm 1) (50/35 lb)
21 lateral burpee over dumbbell
21 dumbbell snatches (arm 2) (50/35 lb)
21 lateral burpee over dumbbell
15 dumbbell snatches (arm 1) (50/35 lb)
15 lateral burpee over dumbbell
15 dumbbell snatches (arm 2) (50/35 lb)
15 lateral burpee over dumbbell
9 dumbbell snatches (arm 1) (50/35 lb)
9 lateral burpee over dumbbell
9 dumbbell snatches (arm 2) (50/35 lb)
9 lateral burpee over dumbbell"
64,2024,2,Open 24.2,AMRAP,20 minutes,Rounds and Reps,,"AMRAP in 20 minutes of:
300 meter row
10 deadlifts (185/125 lb)
50 double-unders"
65,2024,3,Open 24.3,For time,15 minutes,Time,,"For time:
5 rounds of:
10 thrusters (95/65 lb)
10 chest-to-bar pull-ups

1 minute rest

5 rounds of:
7 thrusters (135/95 lb)
7 bar muscle-ups"
,2025,1,Open 25.1,AMRAP,15 minutes,Reps,,"As many rounds and reps as possible in 15 minutes of: 

3 lateral burpees over the dumbbell 
3 dumbbell hang clean-to-overheads 
30-foot walking lunge (2 x 15 feet) 

*After completing each round, add 3 reps to the burpees and hang clean-to-overheads. 

? 35-lb (15-kg) dumbbell 
? 50-lb (22.5-kg) dumbbell"
,2025,2,Open 25.2,FOR TIME,20 minutes,Reps,,"For time:

21 pull-ups
42 double-unders
21 thrusters (weight 1)
18 chest-to-bar pull-ups
36 double-unders
18 thrusters (weight 2)
15 bar muscle-ups
30 double-unders
15 thrusters (weight 3)

Time cap: 12 minutes

? 65, 75, 85 lb (29, 34, 38 kg)
? 95, 115, 135 lb (43, 52, 61 kg)"
,2025,3,Open 25.3,FOR TIME ,20 minutes,Reps,,"For time:

5 wall walks
50-calorie row
5 wall walks
25 deadlifts
5 wall walks
25 cleans
5 wall walks
25 snatches
5 wall walks
50-calorie row

Time cap: 20 minutes

? 155-lb (70-kg) deadlift, 85-lb (38-kg) clean, 65-lb (29-kg) snatch
? 225-lb (102-kg) deadlift, 135-lb (61-kg) clean, 95-lb (43-kg) snatch"
